u,v,w
-2.0141143964937135e-06,-2.4189634285178395e-05,-6.176078045515449e-06
9.194546320790458e-06,-2.8299175573521116e-05,-7.122823474399579e-06
2.3367052038439786e-05,-3.0229156944910452e-05,-6.813417226280752e-06
4.162993492991162e-05,-2.9599141342676975e-05,-4.715196797131488e-06
6.628037423773823e-05,-2.5793677495285955e-05,-5.508849450376807e-08
0.00010135675186877133,-1.8337675976108372e-05,7.542231187311997e-06
0.00014949867504528597,-8.966567836349696e-06,1.4102707821468026e-05
0.00018932167698623416,-2.5703597002394625e-06,6.425597796660106e-06
0.00017612234781208455,7.677898535420345e-06,-8.268107678016646e-06
0.00013109451526832017,2.6102701241371633e-05,-7.983829799116157e-06
8.740956181399625e-05,4.147683292954418e-05,-3.885339330931528e-07
5.070735422212178e-05,4.825375016288208e-05,6.190503180223823e-06
2.1222628363091612e-05,4.603828850104638e-05,9.51886250386925e-06
-1.5312398774697183e-07,3.7008726924539824e-05,9.698923857118607e-06
-1.3258127173436574e-05,2.4590992692712303e-05,7.715562340607439e-06
-1.9309008951368656e-05,1.1701864665142036e-05,4.668594227299276e-06
-2.0030420892746043e-05,-4.438219993125165e-08,1.3627777914451447e-06
-1.6856596198862526e-05,-1.002364140347116e-05,-1.7207867488686845e-06
-1.0704259117584456e-05,-1.8079558131667467e-05,-4.301490059583082e-06
-2.01411439649372e-06,-2.418963428517842e-05,-6.176078045515452e-06
-2.2698046386172125e-06,-2.2048186534200856e-05,-1.1129708871309292e-05
8.854434795944942e-06,-2.5496622410275817e-05,-1.4193087925968934e-05
2.3103349219921104e-05,-2.6489061811225012e-05,-1.6703890537012963e-05
4.1678062733045067e-05,-2.4381614863939476e-05,-1.8609593092557523e-05
6.70037273442713e-05,-1.8198141854381253e-05,-1.968874006356927e-05
0.00010322436189352329,-7.428738199695103e-06,-1.914786277745293e-05
0.00015227712437543338,3.42742624247202e-06,-1.4329709043668633e-05
0.00018956535942062235,1.5951508676713767e-06,-1.0864460796865226e-06
0.00017207897573826085,-9.031200541530576e-07,1.4170811991427767e-05
0.00012663565099502253,1.2669489956994815e-05,2.2075604784239617e-05
8.461894575333906e-05,2.8294823087506196e-05,2.4733902836922754e-05
4.998680685523511e-05,3.7118569755023325e-05,2.448205740972029e-05
2.217775161107921e-05,3.7745915615269176e-05,2.1968649864222972e-05
1.59954637661266e-06,3.17140309375394e-05,1.7678415121773676e-05
-1.153857186759072e-05,2.1818637480355277e-05,1.2363720787314325e-05
-1.804406642066822e-05,1.0721004086531455e-05,6.793710928339147e-06
-1.929428878257308e-05,1.5078079890926103e-07,1.4892319139527927e-06
-1.6569294683136816e-05,-9.039981500258161e-06,-3.302321292610664e-06
-1.0748219107896685e-05,-1.649776572177767e-05,-7.5072458322230485e-06
-2.269804638617222e-06,-2.2048186534200893e-05,-1.1129708871309318e-05
2.9564627347193193e-07,-2.0992113631292203e-05,-1.4779441728719389e-05
1.2053485514685282e-05,-2.4585066407997498e-05,-1.6849437079123922e-05
2.7233047219684653e-05,-2.656160875028759e-05,-1.6837872098793092e-05
4.714024144653528e-05,-2.6608501508231546e-05,-1.39988544652807e-05
7.432225294302701e-05,-2.4282138584001394e-05,-7.326396319858571e-06
0.00011288644792635587,-1.9245322268480005e-05,3.2121383333858736e-06
0.00016264153288411023,-1.1784569218824832e-05,1.0843876904807519e-05
0.0001922338573386753,-9.739091165844425e-07,2.1880320406646297e-06
0.00016607813477257331,1.5580313136706238e-05,-4.535320958475326e-06
0.00011862714625845824,3.090256357013575e-05,4.60089342958639e-06
7.632013017489685e-05,3.903813002953666e-05,1.58740243624536e-05
4.244931121471821e-05,3.9737608702464236e-05,2.2249011113313276e-05
1.6700666429174733e-05,3.477979778083575e-05,2.3056130742072687e-05
-1.3088244959177866e-06,2.6434292522506494e-05,1.9613727051898063e-05
-1.2322646733789198e-05,1.6709518536841167e-05,1.3681888597417209e-05
-1.747148388661297e-05,7.012959893468568e-06,6.795735811976095e-06
-1.7965886696341895e-05,-1.862280078701837e-06,5.931747144314269e-09
-1.4799987429544399e-05,-9.561307758558765e-06,-6.072908105265559e-06
-8.620253642152344e-06,-1.5956694152024778e-05,-1.1087777316174476e-05
2.956462734719172e-07,-2.0992113631292223e-05,-1.4779441728719402e-05
5.512547783802135e-07,-1.6379639086579298e-05,-1.8943823911747714e-05
1.2174041468203241e-05,-1.8203700140170085e-05,-2.276785008385643e-05
2.7272680542712657e-05,-1.7821687157685534e-05,-2.512511877051771e-05
4.7230458148793825e-05,-1.4518516327321861e-05,-2.564811232150954e-05
7.476512317529117e-05,-7.422443981893246e-06,-2.3668967713959277e-05
0.00011414046534262542,3.0403250921515354e-06,-1.822218716198825e-05
0.00016415980021642726,9.190630095427091e-06,-8.895375668106e-06
0.0001903721930586031,-6.331050767416378e-07,2.8069537904652136e-06
0.00016120373043749573,-4.853060762597536e-06,1.5658803445262003e-05
0.00011473433413084265,6.349271274096221e-06,2.6743201910322576e-05
7.466597658360834e-05,1.801237259526065e-05,3.321455540495766e-05
4.265895547969045e-05,2.3929556381176646e-05,3.4571323220097474e-05
1.7902184093462085e-05,2.3957426104176904e-05,3.1410212341366535e-05
1.524951247207141e-07,1.9687143345176867e-05,2.495858184452618e-05
-1.0982454418952585e-05,1.3037571308009041e-05,1.6731745968789713e-05
-1.637797284134243e-05,5.615632082891624e-06,8.058219773864434e-06
-1.7126900653727293e-05,-1.5185086053460762e-06,-1.8867308670043116e-07
-1.418656220673887e-05,-7.76868134387103e-06,-7.55475440174163e-06
-8.199791978870216e-06,-1.2803889719694963e-05,-1.383924629314929e-05
5.512547783801994e-07,-1.637963908657932e-05,-1.8943823911747738e-05
7.465932942857601e-07,-1.3292501172920936e-05,-2.0886361491333242e-05
1.2287463291943784e-05,-1.6047854657919835e-05,-2.4132996753450104e-05
2.7360794392597766e-05,-1.8203517507853395e-05,-2.4887167304639585e-05
4.7337680780581076e-05,-1.970922296065149e-05,-2.2340349631450808e-05
7.481890710213826e-05,-2.038846918542452e-05,-1.5381701251706003e-05
0.00011380975494525702,-1.9632852791622066e-05,-3.796658496472424e-06
0.00016372448618065167,-1.4895337227792763e-05,6.151053716342805e-06
0.0001928850087940709,-6.971302888496605e-07,2.1816442976645427e-06
0.00016544416510727155,1.719461777568261e-05,1.4457659081633067e-06
0.00011690522864014578,2.6648244959228882e-05,1.4594528000780333e-05
7.498198444436007e-05,2.8438522124339045e-05,2.7281370071681638e-05
4.2477367317633734e-05,2.611827541669365e-05,3.333817475938631e-05
1.795600686495167e-05,2.1613706902666365e-05,3.271080259467164e-05
5.463900316085783e-07,1.59547422759146e-05,2.7067968061218705e-05
-1.0389867991222387e-05,9.91108763024769e-06,1.852055164341329e-05
-1.574450741025015e-05,4.060473800032232e-06,8.941053126068492e-06
-1.6558520932523893e-05,-1.2636111464818606e-06,-3.832294756844297e-07
-1.3737049692395602e-05,-5.9319269217496644e-06,-8.71244881696575e-06
-7.88425830642183e-06,-9.931255243631368e-06,-1.564052839262067e-05
7.465932942857529e-07,-1.3292501172920949e-05,-2.0886361491333262e-05
9.278611112444245e-07,-7.516444577812917e-06,-2.3161204112049925e-05
1.240721619306201e-05,-7.842887106852883e-06,-2.7355051360238597e-05
2.74087181815949e-05,-6.726583843326572e-06,-2.9383582288476764e-05
4.7318733773540284e-05,-3.6090462112486636e-06,-2.863420683202054e-05
7.482196637600929e-05,2.1287580551169797e-06,-2.4157352327714325e-05
0.00011409174519040552,9.824215145229771e-06,-1.5217430202742896e-05
0.00016394056794812379,1.2309076405302538e-05,-4.341991055071285e-06
0.0001902317970493088,-9.423206349119694e-07,2.5154567190504774e-06
0.00016092615259932544,-1.0058989944713549e-05,1.2317657360504171e-05
0.0001141531636508963,-4.500262945930723e-06,2.6378451873833728e-05
7.421412406356996e-05,3.297887624005049e-06,3.650712783273985e-05
4.2720062248440334e-05,8.022356541662414e-06,3.997337017246111e-05
1.8518604860228227e-05,9.360374269164746e-06,3.72616359238925e-05
1.131090370229407e-06,8.176440891687323e-06,2.999493451650997e-05
-9.874923517432616e-06,5.506226189025171e-06,2.018964058859763e-05
-1.5313144580118837e-05,2.235411358874751e-06,9.626355298776693e-06
