u,v,w
1.37962962820782e-06,-1.2485404074183447e-05,-8.096375404100738e-06
3.0487880079040626e-06,-9.402341041855486e-06,-1.1827351583979336e-05
4.457634881225839e-06,-5.160623376187226e-06,-1.4363402732687358e-05
5.452992087374105e-06,-2.1697631378475836e-07,-1.5414761427398433e-05
5.923790452682597e-06,4.885614192092083e-06,-1.48537233838375e-05
5.814431686985957e-06,9.579359776286195e-06,-1.2735432013344946e-05
5.133008306161326e-06,1.3340218436902597e-05,-9.295273315033273e-06
3.952313589041931e-06,1.5752442173166637e-05,-4.920693239365882e-06
2.4024255523174557e-06,1.655755329088681e-05,-1.0180215534537527e-07
6.554423752211772e-07,1.5680324777206772e-05,4.6294830426744775e-06
-1.095202446934351e-06,1.3230668826359537e-05,8.760949175567258e-06
-2.65747145950754e-06,9.485039963045488e-06,1.1854285356011351e-05
-3.862291176587444e-06,4.852474984962415e-06,1.3587747291704361e-05
-4.581525729940823e-06,-1.7005196098578288e-07,1.3785421301990701e-05
-4.740770625116362e-06,-5.048863422129189e-06,1.2432090494679433e-05
-4.3260762095691e-06,-9.267291814050725e-06,9.673107494653473e-06
-3.3842988501720813e-06,-1.2377442661139938e-05,5.79938059349421e-06
-2.0173429522696725e-06,-1.4045498435162934e-05,1.2186760824250743e-06
-3.7110347445003166e-07,-1.4086496304055752e-05,-3.584386991340775e-06
1.3796296282078174e-06,-1.2485404074183454e-05,-8.096375404100731e-06
1.3452205202654575e-06,-1.291930026448972e-05,-8.434664314592762e-06
3.0802011047580754e-06,-9.728904146761022e-06,-1.2302823120769654e-05
4.556222333060551e-06,-5.3356056221975e-06,-1.4931373473747205e-05
5.612622157506292e-06,-2.1205669382926627e-07,-1.6017756018008975e-05
6.1309573439856145e-06,5.077835054661925e-06,-1.5427950898148077e-05
6.0494948099774984e-06,9.943149702271005e-06,-1.3219316617232784e-05
5.372601421477313e-06,1.3838435001220317e-05,-9.638353362129498e-06
4.172534067767497e-06,1.6332082378456655e-05,-5.090650347261244e-06
2.5820850409026662e-06,1.7157635860651247e-05,-8.797081317199617e-08
7.786710622697044e-07,1.6240034293922896e-05,4.816379141110961e-06
-1.0373886031910231e-06,1.3696190355923058e-05,9.091881313143481e-06
-2.666659389980423e-06,9.814476880434597e-06,1.2286508551884009e-05
-3.933015454351781e-06,5.018946794516063e-06,1.406990233649331e-05
-4.702227513480015e-06,-1.7681904074200706e-07,1.4262641264524381e-05
-4.89517365014478e-06,-5.222219987582938e-06,1.2850900809049763e-05
